area,tag,bv_id,time,title,duration,view,danmaku,reply,favorite,coin,share,like,author_uid,author_name,author_follower,width,height,landscape
家居房产,"家装,家居,生活记录,生活改造计划,生活改造计划·第二期",BV1z94y1o79J,2022-03-31 22:17:23,装修是一场庞大的连锁反应,437,599286,5789,1556,5538,14557,16118,36741,1519547765,罗兰朵,139915,1920,1080,N
家居房产,"生活改造计划·第二期,改造前后，判若两屋,家居,装修,ROOMTOUR,生活,阁楼,露台,游戏宅,游戏房",BV1xL411w76R,2022-03-20 12:45:09,坐拥65平阁楼+露台？还有4米大书桌+游戏房！这个家我能宅一辈子｜RoomTour,1000,598005,2552,927,17614,14826,13570,26882,353806838,杨六娃本娃,187968,3840,2160,N
家居房产,"吐槽,生活,搞笑,室内设计,装修,空间设计,家居,地产家居,鉴定网络热门视频,改造前后，判若两屋",BV1uZ4y1U7XC,2022-04-05 16:34:25,父母为何把卧室设计成宿舍？鉴定网络热门装修视频,48,584689,466,716,3528,232,919,46105,603841071,室内设计师-梁正,92411,1080,1920,Y
家居房产,"生活改造计划·第二期,生活改造计划",BV1eY4y1v7Vo,2022-03-31 18:49:14,为了早日住进小院，吃上自己家的樱桃，我们一家三口变四口……,176,576859,160,225,1145,581,74,7407,358269830,雅雅和橘子姐,118821,1920,1080,N
家居房产,"装修,生活改造计划,生活改造计划·第二期",BV1xS4y1U7pG,2022-03-19 11:48:06,看视频！！！标题不重要！！！,98,573232,142,206,3047,132,193,14545,39800775,付贵儿搞装修,223241,1080,1920,Y
家居房产,"生活改造计划,生活改造计划·第二期",BV1q34y1s7WA,2022-03-31 19:04:54,下班回家干什么？,21,567652,267,807,8342,1256,1041,26105,1828994676,小蓝蓝plus,494426,2160,3840,Y
家居房产,"跟着UP主创作吧（第三期）,记录生活的美好幸福时刻,买房,loft,房产,房子,婚姻",BV1mS4y1N79x,2022-03-27 13:18:08,有一种痛苦叫婚房买了loft，卖不出也不想住，彻底成“不动产”了,277,559492,678,987,977,161,1035,4834,527581339,小王知天下,3494,1920,1080,N
家居房产,"生活改造计划·第二期,居家生活小妙招,收纳,家居,装修,小户型",BV11Z4y1B7p3,2022-03-26 17:16:49,14平米的家，自己设计安装收纳床箱,243,554195,612,476,4101,641,691,36517,59540023,王一工不二,54862,1080,1920,Y
家居房产,"生活改造计划·第二期,生活改造计划,打卡挑战,家庭卫生管理师",BV1HU4y1Z7xy,2022-03-18 11:40:22,给90后总裁家别墅做保洁！,133,553563,366,1001,2173,156,3835,13373,1650278234,上海审视管家,1770,1920,1080,N
家居房产,"搞笑,记录,经验分享,疫情生活记录,必剪春季踏青计划,酒店长住",BV1s5411D7gH,2022-04-05 21:01:40,关于酒店长住，你好奇的这里都有,1900,553499,1047,1132,28304,11540,2209,18591,11651257,翡瑜时光,3480,1920,1080,N
家居房产,"搞笑,日常,男女,同性恋,情感,情侣,最强大脑,VLOG,ROOMTOUR,我的恋恋日记",BV1DS4y1U7ox,2022-03-19 22:41:47,çª�è¢­ä¸¤ä¸ªç”·ç”Ÿçš„å®¶ï¼Œç«Ÿæœ‰ä¸€å�Šä¸�èƒ½æ’­ï¼�ï¼�ï¼�,798,551907,2830,938,7299,19343,5370,33271,487425891,å�¯ä»¥å�»ä½ å®¶å˜›,179887,1920,1080,N
家居房产,"生活改造计划·第二期,居家生活小妙招,家装,装修,沈阳装修",BV1V34y187p1,2022-03-10 20:58:28,瓦工活项目复杂，通铺、对角...不是上来就干的，一定要像我这样给他提提醒！为了装修新家努力一下吧！,95,522888,17,83,4077,147,195,12470,1925770102,懂装修,53279,1080,1920,Y
家居房产,"生活改造计划·第二期,生活改造计划,食堂,鸡蛋饼,房子,生活,日常",BV1UL411A7hr,2022-03-11 12:00:17,给非洲徒弟盖房子，今天工地小食堂开工啦，我们做的鸡蛋饼大家都爱吃,546,518029,5730,1871,1380,15235,392,39322,393116415,非洲飞哥,631150,1920,1080,N
家居房产,"建筑,奇葩,设计,装修,家居,土木,迷惑,旧房改造,生活改造计划,生活改造计划·第二期",BV1394y1Z7NN,2022-04-08 18:00:00,牛！日本夫妇改造百年古宅！女儿竟被封入无间地牢？,505,516762,1163,596,1746,2137,285,20252,671011280,百万巨星麒麟君,640879,1920,1080,N
家居房产,房地产,BV1GY4y1W7HW,2022-03-31 21:27:22,买房量力而行 #买房须知 #开发商 #佛山,99,513470,1265,2033,3438,405,2830,29629,1844932469,佛山新房麦凯,2957,2160,3840,Y
家居房产,"打卡挑战,买房,房产,公寓,露台",BV1HT4y1i7Rb,2022-03-23 18:32:45,现房公寓，单价5500，总价20来万还送露台,11,509146,13,261,313,8,31,11534,1000727149,济南卖房的大老王,905,720,1280,Y
家居房产,"生活改造计划·第二期,生活改造计划,打卡挑战",BV1HU4y1Z7qN,2022-03-17 20:07:53,我的卧室，一定要有一扇布满绿色的大窗户！,99,498027,173,395,1023,876,162,10791,358269830,雅雅和橘子姐,118821,1920,1080,N
家居房产,"生活改造计划·第二期,居家生活小妙招,家居,装修,VLOG,住范儿,建材,设计,装修设计,探店,商场",BV1pb4y1p78g,2022-03-18 18:16:33,带你看看我们家开的20000m²大商场！,489,495253,1525,1170,3123,3194,1867,21694,454560170,住范儿,1529202,1920,1080,N
家居房产,"生活改造计划·第二期,生活改造计划,房子,生活记录,家居,记录,日常",BV1Uu411q73m,2022-03-27 18:00:00,给侯哥盖房子的最新进度，老二也会瓦匠活儿，肉肉跟着过来玩,696,493608,7964,5191,1095,11472,325,33438,393116415,非洲飞哥,631150,1920,1080,N
家居房产,"生活改造计划·第二期,居家生活小妙招,厨房神器,家居好物,测评,破壁机,砧板",BV1Ru411q7m5,2022-03-24 20:27:49,被隔离了，来分享几条最新的厨房弯路,183,493615,433,986,3755,2355,1086,43842,486759751,卡门卡卡_,400741,2160,3840,Y
